name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Misty,Greatest Hits - Original Recordings,Ray Stevens,7uomyxZYl0CXHEgVphykOB,2014-04-22,34,175933,0.591,0.187,0.551,0.000652,0.0749,0.877,-13.72,0.0286,100.326,2,4
Coal Miner's Daughter,20 #1's: Classic Country,Various Artists,1em1d8w28YNTYz5U3NNFc1,2015-06-16,0,181666,0.6,0.791,0.517,0.0187,0.108,0.645,-9.567,0.032,136.521,9,4
East Bound and Down,The Essential Jerry Reed,Jerry Reed,7rLaJmjANgWaHEys3p6SDu,2015-10-02,40,167706,0.495,0.396,0.929,0.0,0.238,0.788,-9.373,0.065,121.348,7,4
Take This Job and Shove It,Johnny Paycheck - 16 Biggest Hits,Johnny Paycheck,6yT7kcpsXNW7QS9xunPaox,1971,45,156666,0.763,0.556,0.364,2.02e-05,0.0792,0.715,-14.244,0.0559,137.132,5,4
Marie Laveau,Super Hits,Bobby Bare,7nIcb2zJj0HPNws3PRCl7k,2004-06-18,39,190773,0.599,0.867,0.535,1.44e-06,0.741,0.835,-10.522,0.0339,117.59,9,4
"Take Me Home, Country Roads",The Essential John Denver,John Denver,5LV3AJZ7KOKCpoou8kny79,2007-02-27,0,190040,0.456,0.715,0.383,0.0,0.127,0.67,-9.516,0.0263,82.026,9,4
Let Your Love Flow,Bellamy Brothers,The Bellamy Brothers,064SVQsmWl5EF0zahmzkQk,1976-07-01,69,198760,0.679,0.0611,0.553,7.16e-06,0.139,0.946,-14.687,0.0316,109.071,3,4
Good Hearted Woman,Ultimate Waylon Jennings,Waylon Jennings,3CqLvQ9fPOLtLIKb7r5ti6,2004-03-23,51,178733,0.41,0.387,0.568,0.102,0.389,0.644,-11.673,0.0346,103.026,2,4
"Louisiana Woman, Mississippi Man","Louisiana Woman, Mississippi Man",Conway Twitty,02sENi9ULQ36x9mKo5B7XW,1973-01-01,57,151731,0.62,0.477,0.711,0.000168,0.0812,0.96,-6.943,0.035,98.263,1,4
I Love,20th Century Masters: The Millennium Collection: Best Of Tom T. Hall,Tom T. Hall,4uZ4gkFvrJFwiMLV3b3ob2,2000-01-01,0,125666,0.544,0.883,0.312,0.236,0.134,0.505,-12.146,0.0266,91.974,4,4
One Piece at a Time,One Piece At A Time,Johnny Cash,1sueD22EyCamMjdQu9Kuo3,1976-05-01,57,241813,0.721,0.685,0.539,0.0,0.282,0.963,-14.064,0.351,102.648,10,4
You Never Even Called Me By My Name,David Allan Coe - 16 Biggest Hits,David Allan Coe,29TI0GvP5gMQMPTJjdMe0H,1975,54,314226,0.604,0.153,0.459,0.0,0.275,0.505,-13.19,0.0321,105.908,0,4
Dueling Banjos,Dueling Banjos From The Original Sound Track Of Deliverance And Additional Music,Eric Weissberg,4xxn8GDqs7RUwgZTNznXNp,1973,48,194879,0.417,0.409,0.484,0.959,0.0663,0.501,-8.781,0.0791,149.79,9,4
Amos Moses,The Essential Jerry Reed,Jerry Reed,1lfVeoMZZimh0jf8rYUeJU,1995,45,139760,0.75,0.526,0.711,0.000653,0.0282,0.961,-10.633,0.0641,105.636,2,4
"Luckenbach, Texas (Back to the Basics of Love)",Ultimate Waylon Jennings,Waylon Jennings,6ANPIv5r3vdWntrmFa6H6M,2004-03-23,54,200493,0.684,0.704,0.45,0.00191,0.243,0.639,-10.422,0.0332,102.902,7,4
The Gambler,20 #1's: Classic Country,Various Artists,2TFOYnjp4YW0WY34D3H58O,2015-06-16,0,210679,0.682,0.408,0.532,0.0,0.122,0.773,-11.61,0.0826,88.286,4,4
Love Is Like a Butterfly,The Essential Dolly Parton,Dolly Parton,4EmqbVer5FDGxjpx4858nM,2005-06-28,35,140173,0.686,0.721,0.187,0.0,0.12,0.772,-12.062,0.0391,89.616,8,4
Man in Black,Man In Black,Johnny Cash,7wL9EVloIobMw22rT7Ve8x,1971-05-26,57,172986,0.676,0.589,0.58,0.000145,0.218,0.89,-14.217,0.0506,95.358,5,4
Blue Skies,Stardust,Willie Nelson,33LQxf2T3Jbgw3XQ1H3LMY,1978-04-01,51,213440,0.381,0.207,0.335,0.088,0.1,0.259,-12.797,0.0362,83.792,2,4
The Devil Went Down to Georgia,Million Mile Reflections,The Charlie Daniels Band,6gRACp2CvsIhc7hyw8CecQ,1979,59,215066,0.517,0.131,0.535,0.0,0.085,0.933,-12.027,0.0494,135.087,0,4
"Mammas, Don't Let Your Babies Grow Up to Be Cowboys",The Essential Waylon Jennings,Waylon Jennings,5xZYQAl2oktfGQ20rLOJt6,2007-05-01,52,152533,0.373,0.578,0.423,0.00115,0.16,0.527,-11.642,0.0618,187.477,9,3
Coat of Many Colors,Coat Of Many Colors,Dolly Parton,1l2Xmg54EUr3TDzNIaCr1z,1971,58,183666,0.624,0.93,0.257,7.56e-05,0.138,0.681,-13.341,0.0444,85.617,5,4
Here You Come Again,The Essential Dolly Parton,Dolly Parton,145rlLSza5obOXk6dVjioX,2005-06-28,41,174466,0.537,0.568,0.573,0.000641,0.062,0.615,-9.106,0.0369,105.795,1,4
Blue Eyes Crying In the Rain,Red Headed Stranger,Willie Nelson,2uRVPeQbsEpRQD0DKr1WTo,1975-05-01,59,138600,0.626,0.928,0.04,0.00178,0.11,0.418,-19.994,0.0405,117.136,4,4
Jolene,Jolene,Dolly Parton,2SpEHTbUuebeLkgs9QB7Ue,1974-02-04,72,161533,0.674,0.566,0.537,0.0,0.131,0.809,-10.971,0.0363,110.578,1,4
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Honky Chateau,Elton John,3gdewACMIVMEWVbyb8O9sY,1972-05-19,80,281613,0.601,0.432,0.532,6.25e-06,0.0925,0.341,-9.119,0.0286,136.571,10,4
Wild World,Tea For The Tillerman (Remastered),Yusuf / Cat Stevens,6Xz7FeyE8HTP90HecgHV57,1970-11-23,2,200173,0.484,0.376,0.508,0.000791,0.0961,0.554,-9.308,0.0364,151.867,0,4
Easy,The Very Best Of The Commodores,Commodores,0wtHjEAzLYYyGuk2WtpGwS,1995-01-01,61,260893,0.576,0.233,0.432,0.00135,0.0743,0.348,-13.642,0.0314,132.144,10,4
Hotel California - 2013 Remaster,The Very Best of the Eagles (2013 Remaster),Eagles,4Vn7TykT27PIygBiZjTR2s,2003-10-21,58,391376,0.579,0.00574,0.508,0.000494,0.0575,0.609,-9.484,0.027,147.125,2,4
Paradise By the Dashboard Light,Bat Out Of Hell,Meat Loaf,2g7gviEeJr6pyxO7G35EWQ,1977-10-21,71,508333,0.326,0.214,0.872,0.0,0.461,0.492,-7.602,0.122,173.381,2,4
How Deep Is Your Love,Greatest,Bee Gees,2JoZzpdeP2G6Csfdq5aLXP,1979-01-01,72,245200,0.633,0.105,0.357,0.0,0.133,0.674,-9.366,0.0264,104.938,5,4
You Are The Sunshine Of My Life,Talking Book,Stevie Wonder,0n2pjCIMKwHSXoYfEbYMfX,1972-10-28,70,178200,0.519,0.823,0.46,5.97e-05,0.243,0.675,-14.53,0.0688,132.082,11,4
Dancing Queen,Arrival,ABBA,0GjEhVFGZW8afUYGChu3Rr,1976,82,230400,0.543,0.358,0.87,0.000939,0.792,0.754,-6.514,0.0428,100.804,9,4
Wonderful Tonight,Slowhand 35th Anniversary (Super Deluxe),Eric Clapton,6zC0mpGYwbNTpk9SKwh08f,1977-11-01,75,225026,0.572,0.649,0.214,0.129,0.125,0.485,-15.625,0.0293,95.542,7,4
Heroes - 2017 Remaster,"""Heroes"" (2017 Remaster)",David Bowie,7Jh1bpe76CNTCgdgAdBw4Z,1977,76,371413,0.49,0.000671,0.758,0.484,0.092,0.435,-6.491,0.0297,112.114,7,4
Daddy Cool,Daddy Cool,Boney M.,702Xo5V8OhlY2cQEczCT2j,1994-03-14,49,206093,0.753,0.251,0.632,0.64,0.228,0.959,-12.476,0.0381,124.702,5,4
Let The Music Play - Single Version,Let The Music Play (Extended Edition),Barry White,38N1GZG7AMdFaXLRTbwFc4,1976,0,210386,0.546,0.0228,0.794,0.0,0.174,0.774,-6.134,0.0577,99.354,10,4
I Got Lucky,I Got Lucky,Elvis Presley,0j5u1HPcFQxKDJQ89zwOFn,1971-10-01,53,115720,0.731,0.838,0.386,0.0,0.195,0.962,-12.331,0.0444,92.867,0,4
Gimme! Gimme! Gimme! (A Man After Midnight),Voulez-Vous,ABBA,3vkQ5DAB1qQMYO4Mr9zJN6,1979,80,292613,0.749,0.02,0.491,0.00899,0.159,0.536,-9.655,0.0403,119.528,10,4
Stayin' Alive,Staying Alive (Original Motion Picture Soundtrack),Various Artists,4UDmDIqJIbrW0hMBQMFOsM,1977-12-13,71,92866,0.707,0.113,0.535,0.00615,0.0884,0.641,-19.793,0.0436,103.644,10,4
Rapper's Delight - Single Version,The Sugarhill Gang - 30th Anniversary Edition (Expanded Version),The Sugarhill Gang,0tm6gsXe0LSm9zeSspyMQu,2010-01-01,60,235840,0.917,0.185,0.692,1.09e-05,0.0686,0.819,-11.665,0.244,111.782,2,4
Let's All Chant,Let's All Chant,The Michael Zager Band,2xGMzDlPnmPHD8HUYOy4Lw,1977,52,184453,0.85,0.0289,0.769,0.01,0.0899,0.967,-8.648,0.0359,122.007,4,4
Boogie Wonderland,I Am,"Earth, Wind & Fire",6ztstiyZL6FXzh4aG46ZPD,1979-06,75,288293,0.802,0.0843,0.756,0.00765,0.0521,0.963,-10.791,0.0349,131.715,2,4
T.N.T.,High Voltage,AC/DC,7LRMbd3LEoV5wZJvXT1Lwb,1976-05-14,77,214666,0.754,0.153,0.759,0.000108,0.101,0.435,-5.218,0.302,126.366,9,4
Moviestar,Moviestar,Harpo,4t9EUCjCPbdfqtOH25k8AU,1976,58,202280,0.547,0.291,0.793,0.0,0.329,0.708,-7.78,0.0307,119.298,9,4
Ma Baker,Love For Sale,Boney M.,1BqnZOkYJbvYLOhN0qPJDm,1977,64,276080,0.746,0.0342,0.76,2.18e-05,0.31,0.902,-6.009,0.105,128.976,2,4
Voulez-Vous,Voulez-Vous,ABBA,17OqI90oTFZ3J8PVu6j07V,1979,69,309173,0.708,0.149,0.774,0.00109,0.169,0.903,-6.931,0.0372,126.636,11,4
"Knock on Wood - 7"" Edit",Knock On Wood: The Anthology,Amii Stewart,7vMRj40Rw8PPgZiDcbyUdj,2016-11-18,48,227733,0.691,0.000457,0.873,0.000582,0.118,0.667,-6.349,0.184,139.384,2,4
Baretta's Theme,Lounge Legends: Sammy Davis Jr.,Sammy Davis Jr.,0paVRKNExLsN5WCMfh6N7t,2002-01-01,43,145613,0.643,0.353,0.908,4.77e-06,0.284,0.693,-7.839,0.0579,104.75,4,4
Now That We Found Love,Ship Ahoy (Expanded Edition),The O'Jays,0qOkHfSClduvkvGk6fCu8l,1973,59,281200,0.713,0.249,0.645,4.17e-06,0.273,0.961,-8.404,0.0396,113.903,0,4
Sorry Seems To Be The Hardest Word,Rocket Man - Number Ones,Elton John,7dwokc7VMOCFJDUohG8DlF,2007-03-26,0,229066,0.364,0.823,0.252,2.68e-06,0.23,0.138,-12.467,0.0316,125.636,7,4
"Money, Money, Money",Arrival,ABBA,3lKN03PDeBnXZS7sDukRBt,1976,63,186426,0.787,0.535,0.704,0.00305,0.089,0.646,-6.873,0.0385,120.701,9,4
A Little Less Conversation,Almost in Love,Elvis Presley,5Fpe2DMiC7BujUQeZFY6IV,1970-10-01,41,120240,0.571,0.509,0.763,3.07e-06,0.129,0.823,-9.94,0.0808,115.754,9,4
Sunny,Take The Heat Off Me,Boney M.,3pf96IFggfQuT6Gafqx2rt,1976,68,242240,0.647,0.088,0.868,0.124,0.129,0.804,-6.427,0.106,121.82,0,4
