name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Con Calma,Con Calma,Daddy Yankee,5w9c2J52mkdntKOmRLeM2m,2019-01-24,79,193226,0.737,0.11,0.86,1.94e-06,0.0574,0.656,-2.652,0.0593,93.989,8,4
Unforgettable,Jungle Rules,French Montana,3B54sVLJ402zGa6Xm4YGNe,2017-07-14,82,233901,0.726,0.0293,0.769,0.0101,0.104,0.733,-5.043,0.123,97.985,6,4
No Lie,Mad Love The Prequel,Sean Paul,48QmG1dfvMuYLxMPt7KSRA,2018-06-29,84,221176,0.742,0.0466,0.882,0.0,0.206,0.463,-2.862,0.117,102.04,7,4
Danza Kuduro,Meet The Orphans,Don Omar,2a1o6ZejUi8U3wzzOtCOYw,2010-01-01,77,198773,0.4,0.0846,0.915,0.0,0.0503,0.878,-4.89,0.28,88.917,0,3
Piece Of Your Heart,Piece Of Your Heart,MEDUZA,1DFD5Fotzgn6yYXkYsKiGs,2019-02-01,76,152913,0.677,0.0404,0.744,0.00016,0.074,0.631,-6.806,0.0295,124.08,10,4
Memories (feat. Kid Cudi),One Love (New Version),David Guetta,0Xh6R6XLoTDRBYriQRgkHj,2009,26,210853,0.547,0.00192,0.92,7.63e-06,0.257,0.372,-3.939,0.259,129.994,8,4
Mi Gente,Mi Gente,J Balvin,6jNHpJIBFTJwl3bxWrGF6K,2017-07-04,53,189029,0.548,0.0178,0.701,1.34e-05,0.134,0.309,-4.862,0.0914,104.237,11,4
goosebumps,Birds In The Trap Sing McKnight,Travis Scott,6gBFPUFcJLzWGx4lenP6h2,2016-09-16,83,243836,0.841,0.0847,0.728,0.0,0.149,0.43,-3.37,0.0484,130.049,7,4
Ride It,Ride It,Regard,2tnVG71enUj33Ic2nFN6kZ,2019-07-26,81,157605,0.88,0.177,0.751,6.43e-05,0.106,0.884,-4.258,0.0874,117.948,7,4
Ni**as In Paris,Watch The Throne (Deluxe),JAY-Z,4Li2WHPkuyCdtmokzW2007,2011-08-08,83,219333,0.789,0.127,0.858,0.0,0.349,0.775,-5.542,0.311,140.022,1,4
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,4w8niZpiMy6qz1mntFA5uM,2018-09-28,76,212500,0.842,0.157,0.801,4.82e-06,0.0642,0.617,-4.167,0.228,95.881,8,4
Sweat - Remix,Sweat (Snoop Dogg Vs. David Guetta) [Remix],Snoop Dogg,0R7YVi7w41Dr9jU5vblAok,2011-01-01,69,195986,0.813,0.0597,0.732,0.00137,0.0826,0.731,-5.636,0.03,130.02,7,4
Ayo,Fan of A Fan The Album (Expanded Edition),Chris Brown,0k6DnZMLoEUH8NGD5zh2SE,2015-02-24,71,225226,0.823,0.0399,0.563,0.0,0.0851,0.682,-5.095,0.0443,98.031,6,4
Intoxicated - New Radio Mix,Intoxicated,Martin Solveig,5bcfWAHLoMfGBdbeyoMaH3,2015-03-06,49,159693,0.8,0.00563,0.677,0.00409,0.0838,0.547,-4.023,0.0393,125.004,0,4
Five More Hours,Five More Hours,Deorro,6YwLgicpvVuMt1eE2OldwQ,2015-03-03,67,211975,0.699,0.0288,0.883,0.0,0.817,0.499,-3.226,0.219,127.961,5,4
Vossi Bop,Vossi Bop,Stormzy,44ZJ4hLD5onikKsVLQaILr,2019-04-26,64,196266,0.682,0.13,0.653,0.00116,0.129,0.428,-6.062,0.339,188.115,8,4
Tiimmy Turner,Tiimmy Turner,Desiigner,3NJG6vMH1ZsectZkocMEm0,2016-07-22,67,239853,0.603,0.174,0.725,0.0,0.0786,0.304,-3.054,0.0393,122.803,6,4
SICKO MODE,ASTROWORLD,Travis Scott,2xLMifQCjDGFmkHkpNLD9h,2018-08-03,82,312820,0.834,0.00513,0.73,0.0,0.124,0.446,-3.714,0.222,155.008,8,4
We Own It (Fast & Furious),Fast & Furious 6,Various Artists,5DD9jE8Z3LvpVn2TxknJyX,2013-01-01,60,227893,0.554,0.0521,0.899,0.0,0.0568,0.552,-4.573,0.408,171.966,8,4
On The Floor,Love?,Jennifer Lopez,3C0nOe05EIt1390bVABLyN,2011-01-01,79,284866,0.73,0.105,0.777,0.000478,0.0691,0.575,-5.194,0.0496,130.0,3,4
Tuesday (feat. Danelle Sandoval),Tuesday (feat. Danelle Sandoval),Burak Yeter,7EVk9tRb6beJLTHrg6AkY9,2016-09-02,72,241874,0.841,0.0156,0.639,0.0654,0.0545,0.675,-6.052,0.0688,99.002,9,4
Show Me (feat. Chris Brown),My Own Lane (Expanded Edition),Kid Ink,4q6dqyGM25sKFU8nYAGRe4,2014-01-06,68,217800,0.711,0.0355,0.508,0.0,0.141,0.663,-7.299,0.0502,98.098,7,4
Panda,New English,Desiigner,5YEOzOojehCqxGQCcQiyR4,2016-06-26,70,246761,0.576,0.028,0.766,1.68e-06,0.366,0.236,-4.943,0.449,144.833,10,4
Wow.,Hollywood's Bleeding,Post Malone,7xQAfvXzm3AkraOtGPWIZg,2019-09-06,80,149546,0.829,0.136,0.539,1.78e-06,0.103,0.388,-7.359,0.208,99.96,11,4
In My Mind,In My Mind,Dynoro,0E9ZjEAyAwOXZ7wJC0PD33,2018-06-08,78,184560,0.694,0.176,0.77,1.1e-05,0.118,0.163,-5.335,0.149,125.905,6,4
Mirror,Tha Carter IV (Deluxe),Lil Wayne,6MreoQf8oixWI2xRcw3Fv1,2011-01-01,2,228093,0.328,0.858,0.622,0.0,0.104,0.401,-7.291,0.0866,74.267,5,4
One Dance,Views,Drake,1zi7xx7UVEFkmKfv06H8x0,2016-05-06,85,173986,0.792,0.00776,0.625,0.0018,0.329,0.37,-5.609,0.0536,103.967,1,4
Girls Like (feat. Zara Larsson),Girls Like (feat. Zara Larsson),Tinie Tempah,0rHVd8h0cFwgLgPFem6S60,2016-02-26,63,196000,0.916,0.37,0.804,1.18e-05,0.0812,0.538,-3.406,0.049,120.028,0,4
Loyal (feat. Lil Wayne & Tyga),X (Expanded Edition),Chris Brown,5BrTUo0xP1wKXLJWUaGFtk,2014-09-16,73,264946,0.841,0.0168,0.522,1.37e-06,0.188,0.616,-5.963,0.049,99.059,10,4
Wish You Were Mine - Radio Edit,Wish You Were Mine,Philip George,412luShbmlgqqgYFStIB1s,2014-12-28,67,177560,0.654,0.0126,0.832,0.0901,0.102,0.407,-4.164,0.0293,123.002,7,4
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,6kex4EBAj0WHXDKZMEJaaF,2017-02-23,76,216408,0.696,0.075,0.817,0.0,0.187,0.782,-3.862,0.109,98.064,1,4
Mr. Saxobeat,Saxobeats,Alexandra Stan,6lc1Rq31ILjpydczoURQPb,2011-11-16,0,195105,0.726,0.0218,0.931,0.000283,0.143,0.797,-4.152,0.0468,126.976,11,4
Wild Thoughts (feat. Rihanna & Bryson Tiller),Grateful,DJ Khaled,1OAh8uOEOvTDqkKFsKksCi,2017-06-22,73,204173,0.671,0.0329,0.672,0.0,0.118,0.632,-3.094,0.0688,97.979,0,4
Play Hard (feat. Ne-Yo & Akon),Nothing but the Beat (Ultimate Edition),David Guetta,5YPMEOJ58kfl56VHxTgwx3,2012-12-07,69,201000,0.691,0.173,0.921,0.0,0.331,0.8,-1.702,0.0533,130.072,8,4
Con Altura,Con Altura,ROSALÍA,2qG5sZ7Si6sdK74qLxedYM,2019-03-28,74,161626,0.882,0.39,0.689,0.00325,0.0501,0.746,-4.027,0.124,97.963,6,4
You Don't Know Me,You Don't Know Me,Jax Jones,1rFMYAZxBoAKSzXI54brMu,2016-12-09,61,213946,0.877,0.163,0.658,0.0,0.108,0.693,-6.055,0.132,123.999,11,4
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Planet Pit (Deluxe Version),Pitbull,4QNpBfC0zvjKqPJcyqBy9W,2011-06-17,82,252306,0.671,0.191,0.939,0.0,0.298,0.53,-3.206,0.161,129.024,8,4
Ransom,We Love You Tecca,Lil Tecca,1lOe9qE0vR9zwWQAOk6CoO,2019-08-30,79,131240,0.745,0.0204,0.642,0.0,0.0658,0.226,-6.257,0.287,179.974,7,4
Bank Account,Issa Album,21 Savage,2fQrGHiQOvpL9UgPvtYy6G,2017-09-23,58,220306,0.884,0.015,0.347,7e-06,0.0871,0.376,-8.227,0.35,75.016,8,4
Summer Air,Summer Air,ItaloBrothers,0V9cosR5jWa4fr2koARmhD,2017-04-28,63,183587,0.755,0.0635,0.751,0.0,0.0812,0.491,-4.034,0.0748,102.002,8,4
Don't Call Me Up,Ivy To Roses (Mixtape),Mabel,5WHTFyqSii0lmT9R21abT8,2019-01-18,77,178480,0.674,0.296,0.881,3.01e-06,0.0793,0.234,-2.853,0.147,98.994,9,4
Where Them Girls At (feat. Nicki Minaj & Flo Rida),Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,7xV6oF0LMnrXKEs6JrWQXf,2011-04-29,0,194840,0.666,0.055,0.876,0.0,0.259,0.552,-3.078,0.0414,129.884,3,4
Ritual,The London Sessions,Tiësto,0teJO13Uua0AamcZ681qOd,2020-05-15,45,198995,0.647,0.157,0.726,0.0,0.0844,0.769,-4.389,0.0552,114.998,3,4
God's Plan,Scorpion,Drake,6DCZcSspjsKoFjzjrWoCdn,2018-06-29,82,198973,0.754,0.0332,0.449,8.29e-05,0.552,0.357,-9.211,0.109,77.169,7,4
Sex,Sex,Cheat Codes,5ZEM9j0jrFr5RdHEbl2MYV,2016-03-07,1,228361,0.51,0.00451,0.692,0.0,0.138,0.209,-5.825,0.171,102.42,0,4
I Like It,Invasion of Privacy,Cardi B,58q2HKrzhC3ozto2nDdN4z,2018-04-06,79,253390,0.816,0.099,0.726,0.0,0.372,0.65,-3.998,0.129,136.048,5,4
Nevermind,Nevermind,Dennis Lloyd,63SevszngYpZOwf63o61K4,2017-06-30,75,156600,0.6,0.159,0.688,1.29e-05,0.409,0.0793,-8.339,0.201,99.977,5,4
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),Enrique Iglesias,7nKBxz47S9SD79N086fuhn,2017-02-24,71,207680,0.688,0.0642,0.822,0.0,0.241,0.66,-3.304,0.0537,91.011,0,4
No Role Modelz,2014 Forest Hills Drive,J. Cole,68Dni7IE4VyPkTOH9mRWHr,2014-12-09,87,292799,0.69,0.324,0.521,0.0,0.0534,0.494,-8.492,0.339,100.028,10,4
Body (feat. brando),Body (feat. brando),Loud Luxury,7K7MUBCnzgBAvMVW2RTWNs,2017-10-27,0,163216,0.752,0.0476,0.764,9.44e-05,0.0543,0.582,-4.399,0.038,121.958,1,4
Jackie Chan,Jackie Chan,Tiësto,4kWO6O1BUXcZmaxitpVUwp,2018-05-18,73,215759,0.747,0.374,0.834,0.0,0.0586,0.687,-2.867,0.045,128.005,3,4
Light It Up (feat. Nyla & Fuse ODG) [Remix],Peace Is The Mission : Extended,Major Lazer,1pjvlYOMIg1NhGQbM6iwrY,2015-11-27,71,166138,0.747,0.0375,0.877,0.000833,0.233,0.752,-3.782,0.0664,107.991,9,4
Scream & Shout,#willpower,will.i.am,2iJuuzV8P9Yz0VSurttIV5,2013-01-01,79,283400,0.772,0.019,0.685,8.96e-05,0.131,0.501,-6.849,0.0696,130.033,5,4
More Than You Know,More Than You Know,Axwell /\ Ingrosso,6h5PAsRni4IRlxWr6uDPTP,2017-07-28,79,203000,0.646,0.0275,0.741,0.0,0.312,0.571,-4.973,0.034,123.077,5,4
Breathe,Breathe,Jax Jones,0KsB4TwgATg88aXCMBoO3Y,2017-12-01,60,207629,0.722,0.0234,0.744,0.000157,0.143,0.686,-5.52,0.0363,125.985,11,4
"Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,5HQVUIKwCEXpe7JIHyY734,2011-10-11,77,207333,0.715,0.0525,0.655,0.0,0.115,0.531,-6.425,0.137,95.078,0,4
Higher,Rokstarr (Special Edition),Taio Cruz,6AxCr5G75R5rqyNCYWVpTo,2010-01-01,62,187626,0.672,0.0048,0.907,3.4e-05,0.156,0.746,-5.069,0.0721,128.027,8,4
Wiggle (feat. Snoop Dogg),Tattoos (Deluxe Edition),Jason Derulo,4B4zDmbHdkXZ1wUJv1yKFy,2013-09-10,66,193295,0.697,0.0802,0.621,0.0,0.162,0.721,-6.886,0.25,81.946,9,4
Antidote,Rodeo (Expanded Edition),Travis Scott,1wHZx0LgzFHyeIZkUydNXq,2015-09-04,73,262693,0.713,0.00767,0.526,0.000148,0.124,0.131,-5.046,0.032,131.05,1,4
Can't Hold Us (feat. Ray Dalton),The Heist,Macklemore & Ryan Lewis,3bidbhpOYeV4knp8AIu8Xn,2012-10-09,82,258342,0.641,0.0291,0.922,0.0,0.0862,0.847,-4.457,0.0786,146.078,2,4
Swang,SremmLife 2 (Deluxe),Rae Sremmurd,6mapJIPnQ23RTAevUoE0DL,2016-08-12,75,208120,0.681,0.2,0.314,9.82e-06,0.1,0.166,-9.319,0.0581,139.992,8,4
XO Tour Llif3,Luv Is Rage 2,Lil Uzi Vert,7GX5flRQZVHRAGd6B4TmDO,2017-08-25,82,182706,0.732,0.00264,0.75,0.0,0.109,0.401,-6.366,0.231,155.096,11,4
Not Afraid,Recovery,Eminem,7Ie9W94M7OjPoZVV216Xus,2010-06-18,79,248133,0.855,0.529,0.954,0.0,0.205,0.668,-1.19,0.264,114.635,0,5
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",Listen,David Guetta,285HeuLxsngjFn4GGegGNm,2014-11-21,75,192560,0.596,0.24,0.73,0.0,0.325,0.525,-4.091,0.151,85.979,9,4
Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),I,Felix Jaehn,3c8iiZGfEammKJuWTErE5x,2018-02-16,73,186146,0.778,0.672,0.566,0.000197,0.0698,0.479,-6.959,0.0311,117.971,2,4
One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),Calvin Harris,7ef4DlsgrMEH11cDZd32M6,2018-04-06,86,214846,0.791,0.037,0.862,2.19e-05,0.0814,0.592,-3.24,0.11,123.994,9,4
The Hills,Beauty Behind The Madness,The Weeknd,7fBv7CLKzipRk6EC6TWHOB,2015-08-28,84,242253,0.585,0.0671,0.564,0.0,0.135,0.137,-7.063,0.0515,113.003,0,4
Talk Dirty (feat. 2 Chainz),Tattoos (Deluxe Edition),Jason Derulo,31JwK4iHCf75rnQWoMPU5t,2013-09-10,56,177685,0.76,0.0348,0.652,0.0,0.307,0.759,-7.321,0.232,100.315,6,4
SAD!,?,XXXTENTACION,3ee8Jmje8o58CHK66QrVC2,2018-03-16,83,166605,0.74,0.258,0.613,0.00372,0.123,0.473,-4.88,0.145,75.023,8,4
S&M,Loud,Rihanna,0C4ejWmOTMv8vuYj85mf8m,2010-11-16,73,243533,0.767,0.0113,0.682,0.00016,0.104,0.833,-5.02,0.042,127.975,1,4
You Know You Like It,You Know You Like It,DJ Snake,57kR5SniQIbsbVoIjjOUDa,2014-10-14,70,247266,0.407,0.0141,0.725,2.46e-06,0.306,0.247,-5.346,0.188,196.093,5,4
Started From the Bottom,Nothing Was The Same (Deluxe),Drake,3dgQqOiQ9fCKVhNOedd2lf,2013-01-01,65,174120,0.794,0.0331,0.523,0.0,0.156,0.56,-7.829,0.161,86.307,8,4
Giant (with Rag'n'Bone Man),Giant (with Rag'n'Bone Man),Calvin Harris,5itOtNx0WxtJmi1TQ3RuRd,2019-01-11,73,229184,0.807,0.016,0.887,0.000503,0.0811,0.606,-4.311,0.0361,122.015,1,4
No Brainer,No Brainer,DJ Khaled,5WvAo7DNuPRmk4APhdPzi8,2018-07-27,67,260000,0.552,0.0733,0.76,0.0,0.0865,0.639,-4.706,0.342,135.702,0,5
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),This One's for You (feat. Zara Larsson) [Official Song UEFA EURO 2016],David Guetta,46NBoIAHrmR7qcUGCIFEjR,2016-05-13,68,207272,0.367,0.0022,0.915,5.81e-05,0.0905,0.365,-3.456,0.0488,110.169,9,4
Takeaway,World War Joy,The Chainsmokers,3g0mEQx3NTanacLseoP0Gw,2019-12-06,75,209880,0.528,0.126,0.511,0.0,0.101,0.351,-8.144,0.0324,100.1,3,4
Ai Se Eu Te Pego! - Ao Vivo,Ai Se Eu Te Pego! (Ao Vivo),Michel Teló,4yPKDDClQA51Hjeao0ckZq,2011-06-03,56,166439,0.645,0.0251,0.853,0.0,0.161,0.827,-5.394,0.0674,96.09,11,4
Yeah 3x,F.A.M.E. (Expanded Edition),Chris Brown,2QtxlzvSBONjs1bDC34ixs,2011-03-22,69,241666,0.705,0.000369,0.882,1.16e-06,0.0934,0.7,-3.201,0.0445,130.0,11,4
Passionfruit,More Life,Drake,5mCPDVBb16L4XQwDdbRUpz,2017-03-18,83,298940,0.809,0.256,0.463,0.085,0.109,0.364,-11.377,0.0396,111.98,11,4
Trap Queen,Fetty Wap (Deluxe),Fetty Wap,5iNRPN7oYQvdB9AmeSW6d3,2015-09-25,68,222093,0.746,0.0244,0.873,0.0,0.354,0.817,-3.803,0.128,148.075,7,4
Where Have You Been,Talk That Talk,Rihanna,3tyPOhuVnt5zd5kGfxbCyL,2011-11-19,71,242680,0.719,0.00201,0.847,0.0204,0.223,0.444,-6.34,0.0916,127.963,0,4
Old Town Road - Remix,7 EP,Lil Nas X,2YpeDb67231RjR0MgVLzsG,2019-06-21,79,157066,0.878,0.0533,0.619,0.0,0.113,0.639,-5.56,0.102,136.041,6,4
SOS,SOS (feat. Aloe Blacc),Avicii,0n2nEtLP3OzDdi12ziIekx,2019-04-10,60,157202,0.802,0.272,0.645,0.0,0.119,0.376,-6.181,0.0715,100.001,5,4
"Me, Myself & I",When It's Dark Out,G-Eazy,40YcuQysJ0KlGQTeGUosTC,2015-12-04,77,251466,0.756,0.0184,0.674,0.0,0.158,0.389,-6.518,0.0959,111.995,0,4
Are You With Me - Radio Edit,Are You With Me,Lost Frequencies,477daPpd3DnneaHhvjM35l,2014-08-25,34,138842,0.776,0.466,0.574,7.83e-05,0.131,0.412,-9.882,0.0317,121.03,5,4
Break Your Heart,Rokstarr (Special Edition),Taio Cruz,4Oqg0RD3ywUXEtt7seShF0,2011-01-01,50,185186,0.672,0.0023,0.889,0.0,0.241,0.678,-4.74,0.029,122.035,8,4
Stereo Love - Radio Edit,Stereo Love,Edward Maya,1AguHaKOuggrVTebp7cZEI,2010-02-02,68,184573,0.799,0.0346,0.783,0.0186,0.0757,0.586,-3.896,0.0322,127.041,1,4
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofía Reyes,4QtiVmuA88tPQiCOHZuQ5b,2018-02-16,67,201526,0.792,0.165,0.895,0.0,0.0501,0.794,-3.112,0.0589,94.968,1,4
How Deep Is Your Love,How Deep Is Your Love,Calvin Harris,22mek4IiqubGD9ctzxc69s,2015-07-17,77,212640,0.738,0.0392,0.868,0.00169,0.388,0.336,-4.373,0.0731,122.003,11,4
Gucci Gang,Lil Pump,Lil Pump,43ZyHQITOjhciSUUNPVRHc,2017-10-06,64,124055,0.936,0.239,0.523,0.0,0.117,0.699,-6.71,0.0597,119.889,5,4
Black Skinhead,Yeezus,Kanye West,722tgOgdIbNe3BEyLnejw4,2013-06-18,75,188013,0.766,0.0011,0.809,0.0,0.168,0.325,-6.123,0.279,130.127,1,4
6 Foot 7 Foot,Tha Carter IV (Deluxe),Lil Wayne,0s019O8KwLXkPSSV609qEE,2011-01-01,1,248586,0.364,0.0007,0.752,0.0,0.318,0.606,-5.429,0.304,79.119,2,4
Time of Our Lives,Globalization,Pitbull,2bJvI42r8EF3wxjOuDav4r,2014-11-21,81,229360,0.721,0.0921,0.802,0.0,0.694,0.724,-5.797,0.0583,124.022,1,4
Hotline Bling,Views,Drake,0wwPcA6wtMf6HUMpIRdeP7,2016-05-06,78,267066,0.891,0.00258,0.628,0.00019,0.0504,0.552,-7.863,0.0551,134.966,2,4
Bodak Yellow,Bodak Yellow,Cardi B,2771LMNxwf62FTAdpJMQfM,2017-06-16,59,223962,0.929,0.0672,0.723,0.0,0.346,0.458,-5.792,0.109,125.022,11,4
I Got U,I Got U,Duke Dumont,023H4I7HJnxRqsc9cqeFKV,2014-01-01,68,285596,0.636,0.00377,0.761,0.00784,0.0851,0.463,-7.752,0.035,120.837,9,4
Sugar (feat. Francesco Yates),Sugar,Robin Schulz,5tf1VVWniHgryyumXyJM7w,2015-09-25,77,219043,0.636,0.0185,0.815,0.0,0.163,0.636,-5.098,0.0581,123.063,5,4
La La La,La La La,Naughty Boy,52gvlDnre9craz9dKGObp8,2013-01-01,58,220779,0.754,0.112,0.677,0.0,0.111,0.254,-4.399,0.0316,124.988,6,4
Levels - Radio Edit,Levels,Avicii,5UqCQaDshqbIk3pkhy4Pjg,2011-10-28,78,199906,0.584,0.0462,0.889,0.828,0.309,0.464,-5.941,0.0343,126.04,1,4
Drowning (feat. Kodak Black),The Bigger Artist,A Boogie Wit da Hoodie,1f5cbQtDrykjarZVrShaDI,2017-09-29,80,209269,0.839,0.501,0.81,0.0,0.117,0.814,-5.274,0.0568,129.014,5,4
Lucid Dreams,Goodbye & Good Riddance,Juice WRLD,285pBltuF7vW8TeWk8hdRR,2018-12-10,84,239835,0.511,0.349,0.566,0.0,0.34,0.218,-7.23,0.2,83.903,6,4
Too Good,Views,Drake,3BtuIIrQlkujKPuWF2B85z,2016-05-06,74,263373,0.794,0.0489,0.653,4.88e-05,0.1,0.397,-7.839,0.104,117.996,7,4
Waves - Robin Schulz Radio Edit,Waves (Robin Schulz Radio Edit),Mr. Probz,5Sf3GyLEAzJXxZ5mbCPXTu,2014-02-07,3,208133,0.829,0.00821,0.51,0.0014,0.0829,0.45,-9.334,0.0369,119.993,5,4
Beautiful People,2010s Hits,Various Artists,7mdNKXxia7AeSuJqjjA2rb,2019-04-11,54,225881,0.415,0.0658,0.775,0.00431,0.0843,0.536,-6.366,0.161,127.898,5,4
Whistle,Wild Ones,Flo Rida,3bC1ahPIYt1btJzSSEyyrF,2012-06-22,78,224653,0.747,0.0208,0.937,0.0,0.29,0.739,-5.746,0.0453,103.976,0,4
7 rings,"thank u, next",Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,83,178626,0.778,0.592,0.317,0.0,0.0881,0.327,-10.732,0.334,140.048,1,4
Call Out My Name,"My Dear Melancholy,",The Weeknd,09mEdoA6zrmBPgTEN5qXmN,2018-03-30,81,228373,0.461,0.17,0.593,0.0,0.307,0.175,-4.954,0.0356,134.17,1,3
Nights Like This (feat. Ty Dolla $ign),While We Wait,Kehlani,6ZRuF2n1CQxyxxAAWsKJOy,2019-02-22,74,201787,0.61,0.367,0.725,0.0,0.154,0.291,-5.131,0.15,146.163,8,4
DJ Got Us Fallin' In Love (feat. Pitbull),Raymond v Raymond (Expanded Edition),Usher,4356Typ82hUiFAynbLYbPn,2010-03-30,79,220800,0.663,0.0338,0.861,0.0,0.082,0.654,-3.398,0.109,119.963,7,4
Work,ANTI (Deluxe),Rihanna,72TFWvU3wUYdUuxejTTIzt,2016-01-28,76,219320,0.725,0.0752,0.534,0.0,0.0919,0.558,-6.238,0.0946,91.974,11,4
DUELE EL CORAZON (feat. Wisin),DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,6YZdkObH88npeKrrkb8Ggf,2016-04-18,68,199693,0.716,0.0858,0.908,0.0,0.135,0.869,-3.254,0.103,91.03,8,4
Panini,Panini,Lil Nas X,1000nHvUdawXuUHgBod4Wv,2019-09-13,71,114893,0.703,0.342,0.594,0.0,0.123,0.475,-6.146,0.0752,153.848,5,4
Kill This Love,KILL THIS LOVE,BLACKPINK,6hvczQ05jc1yGlp9zhb95V,2019-04-05,74,191050,0.763,0.323,0.835,0.00221,0.225,0.645,-5.234,0.191,131.875,2,4
Chill Bill (feat. J. Davi$ & Spooks),Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,5uDASfU19gDxSjW8cnCaBp,2016-06-17,77,177184,0.886,0.0312,0.427,0.00099,0.0906,0.23,-10.028,0.145,108.034,6,4
